医药机构ID,原定点医疗机构ID,机构名称,机构地址,机构类型,医院等级,医保基金使用等级,归属区划,定点标志,有效标志
"D45D09EB9A2B04F2E053C0A884B57C68","5477","苏州健康千家药房有限公司","苏州市吴中经济开发区城南街道东吴南路79号102室","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A2C04F2E053C0A884B57C68","5510","苏州春晖九鼎药铺有限公司","苏州市吴中区木渎镇丹枫路218号3幢102室","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A2D04F2E053C0A884B57C68","5511","苏州吴中经济开发区越溪百福春药房有限公司","苏州市吴中经济开发区越溪街道溪翔路114号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A4C04F2E053C0A884B57C68","4365","苏州市吴中区横泾瑞康诊所","苏州市吴中区横泾街道木东路7802号","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A4D04F2E053C0A884B57C68","4367","苏州市吴中区木渎普济门诊部","苏州市吴中区木渎镇翠坊南街27号","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A4F04F2E053C0A884B57C68","4315","苏州吴中长桥城西苑门诊部","苏州市吴中区龙西路313.315.317.319号,龙华园6幢302.303室","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A5004F2E053C0A884B57C68","4316","苏州吴中长桥月亮湾门诊部","苏州市吴中区月亮湾小区102、103、104、202、203、204、302室","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A5404F2E053C0A884B57C68","5125","苏州雷允上国药连锁总店有限公司渡村药店","苏州市吴中区临湖镇腾飞路8号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A5504F2E053C0A884B57C68","5126","苏州雷允上国药连锁总店有限公司浦庄药店","苏州市吴中区临湖镇浦庄南街69号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A5604F2E053C0A884B57C68","5127","苏州雷允上国药连锁总店有限公司吴中药店","苏州市吴中经济开发区枫津南路22号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A5904F2E053C0A884B57C68","5131","苏州雷允上国药连锁总店有限公司东亭药店","苏州市吴中区东山镇莫厘路51号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A5B04F2E053C0A884B57C68","5281","苏州市百顺药房有限公司","苏州市白塔西路1号-12、1号-13","药店","无等级","一级及以下","姑苏区","1","1"
"D45D09EB9A5F04F2E053C0A884B57C68","5704","苏州心相连药房有限公司","苏州市吴中区郭巷街道双湾花园63幢110室109室","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A6004F2E053C0A884B57C68","5751","苏州东吴医药连锁总店有限公司第一药店","苏州市吴中区石湖西路103号-1","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A6204F2E053C0A884B57C68","5753","苏州东吴医药连锁总店有限公司第四药店","苏州市吴中区临湖镇（浦庄）南街东侧","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A6704F2E053C0A884B57C68","5758","苏州东吴医药连锁总店有限公司横泾意隆店","苏州市吴中区横泾镇木东路7405号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A6804F2E053C0A884B57C68","5759","苏州东吴医药连锁总店有限公司藏书健身堂药店","苏州市吴中区木渎镇藏书穹灵路2399号（政府对面）","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A6904F2E053C0A884B57C68","5762","苏州东吴医药连锁总店有限公司东山百姓药店","苏州市吴中区东山镇洞庭路","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A6B04F2E053C0A884B57C68","5802","苏州健生源医药连锁有限公司吴中区胥口胥市街药店","苏州市吴中区胥口镇胥市街","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A6E04F2E053C0A884B57C68","5805","苏州健生源医药连锁有限公司吴中区光福药店","苏州市吴中区光福镇邓蔚中路82-1号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A6F04F2E053C0A884B57C68","5806","苏州健生源医药连锁有限公司吴中区东吴药店","苏州市吴中区吴中西路2、4号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB998804F2E053C0A884B57C68","4010","苏州平江中医诊所","人民路1547号","诊所","无等级","一级及以下","姑苏区","1","1"
